16  18   1    3    2    2
 1    2
 1.0    0.3  1.0
    1    0.0000     0.0000     0.0
    2    0.3333     0.0000     0.0
    3    0.6667     0.0000     0.0
    4    1.0000     0.0000     0.0
    5    0.0000     0.3333     0.0
    6    0.3333     0.3333     0.0
    7    0.6667     0.3333     0.0
    8    1.0000     0.3333     0.0
    9    0.0000     0.6667     0.0
    10   0.3333     0.6667     0.0
    11   0.6667     0.6667     0.0
    12   1.0000     0.6667     0.0
    13   0.0000     1.0000     0.0
    14   0.3333     1.0000     0.0
    15   0.6667     1.0000     0.0
    16   1.0000     1.0000     0.0
    1       1     2     6   1
    2       1     6     5   1
    3       2     3     7   1
    4       2     7     6   1
    5       3     4     8   1
    6       3     8     7   1
    7       5     6     10   1
    8       5     10    9   1
    9       6     7     11   1
    10      6     11    10   1
    11      7     8     12   1
    12      7     12    11   1
    13      9     10    14   1
    14      9     14    13   1
    15      10    11    15   1
    16      10    15    14   1
    17      11    12    16   1
    18      11    16    15   1
    1    1    1
    2    0    1
    3    0    1
    4    0    1
    0    0    0
   13    0.0    0.25
   14    0.0    0.5
   15    0.0    0.5
   16    0.0    0.25
    0    0.0    0.0
